"","id","lat","lon"
"179",72564210,40.9004,-103.9887
"180",72564211,40.8977,-103.9882
"181",72564212,40.8963,-103.989
"182",72564213,40.8932,-103.9957
"183",72564214,40.8922,-103.9977
"184",72564215,40.8909,-103.9992
"185",72564216,40.8817,-103.9852
"186",72564217,40.882,-103.9898
"187",72564218,40.8821,-103.9942
"188",72564219,40.8813,-104.0054
"189",72564220,40.8805,-104.0074
"190",72564221,40.8796,-104.0094
"191",72564222,40.8788,-104.0122
"192",72564223,40.8775,-104.0148
"193",72564224,40.8764,-104.0164
"194",72564225,40.8819,-104.0208
"195",72564226,40.8803,-104.0223
"196",72564227,40.8787,-104.0237
"197",72564228,40.8775,-104.0255
"198",72564229,40.8711,-104.0189
"199",72564230,40.8692,-104.0193
"200",72564231,40.8675,-104.0203
"201",72564232,40.8663,-104.0216
"202",72564233,40.8645,-104.0237
"203",72564234,40.8629,-104.0241
"204",72564235,40.8612,-104.0248
"205",72564236,40.859,-104.0256
"206",72564237,40.8573,-104.026
"207",72564238,40.8561,-104.0278
"208",72564239,40.8553,-104.0303
"209",72564240,40.8539,-104.0317
"210",72564241,40.8523,-104.0339
"211",72564242,40.8516,-104.0361
"212",72564243,40.8468,-104.0314
"213",72564244,40.845,-104.0327
"214",72564245,40.8466,-104.0395
"215",72564246,40.8456,-104.0416
"216",72564247,40.8445,-104.0436
"217",72564248,40.8434,-104.0457
"218",72564249,40.8413,-104.0476
"219",72564250,40.8385,-104.0477
"220",72564251,40.8366,-104.051
"221",72564252,40.834,-104.0511
"222",72564253,40.8318,-104.0513
"223",72564254,40.8306,-104.0565
"224",72564255,40.829,-104.0579
"225",72564256,40.8274,-104.0593
"226",72564257,40.8236,-104.0586
"227",72564258,40.8225,-104.0604
"228",72564259,40.8205,-104.0622
"229",72564260,40.9143,-103.9546
"230",72564261,40.9139,-103.9566
"231",72564262,40.9127,-103.9587
"232",72564263,40.9117,-103.9607
"233",72564264,40.9098,-103.9623
"234",72564265,40.9087,-103.9633
"235",72564266,40.9073,-103.9572
"236",72564267,40.9059,-103.9589
"237",72564268,40.9048,-103.9605
"238",72564269,40.9156,-103.9424
"239",72564270,40.9141,-103.9438
"240",72564271,40.9125,-103.9451
"241",72564272,40.9109,-103.9464
"242",72564273,40.9094,-103.9477
"243",72564274,40.9081,-103.949
"244",72564275,40.9038,-103.9499
"245",72564276,40.9031,-103.9523
"246",72564277,40.9008,-103.9562
"247",72564278,40.8992,-103.957
"248",72564279,40.8976,-103.9589
"249",72564280,40.9165,-103.9187
"250",72564281,40.9161,-103.9218
"251",72564282,40.9159,-103.9257
"252",72564283,40.9148,-103.9285
"253",72564284,40.9138,-103.9304
